State,Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Odisha,Athagarh,89,RANENDRA PRATAP SWAIN,Biju Janata Dal,ABHAYA KUMAR BARIK,Bharatiya Janata Party,3584,Result Declared
Odisha,Athamallik,63,NALINI KANTA PRADHAN,Biju Janata Dal,SANJEEB KUMAR SAHOO,Bharatiya Janata Party,16153,Result Declared
Odisha,Attabira,4,NIHAR RANJAN MAHANAND,Bharatiya Janata Party,SNEHANGINI CHHURIA,Biju Janata Dal,28910,Result Declared
Odisha,Aul,98,PRATAP KESHARI DEB,Biju Janata Dal,DEBASMITA SHARMA,Indian National Congress,19628,Result Declared
Odisha,Badasahi,32,SANATAN BIJULI,Bharatiya Janata Party,ANASUYA PATRA,Biju Janata Dal,37387,Result Declared
Odisha,Balasore,38,MANAS KUMAR DUTTA,Bharatiya Janata Party,SWARUP KUMAR DAS,Biju Janata Dal,28626,Result Declared
Odisha,Baliguda,82,CHAKRAMANI KANHAR,Biju Janata Dal,UPENDRA PRADHAN,Indian National Congress,1671,Result Declared
Odisha,Balikuda-Erasama,103,SARADA PRASANNA JENA,Biju Janata Dal,SATYA SARATHI MOHANTY,Bharatiya Janata Party,25959,Result Declared
Odisha,Bangriposi,29,SANJALI MURMU,Bharatiya Janata Party,RANJITA MARNDI,Biju Janata Dal,34476,Result Declared
Odisha,Banki,88,DEVI RANJAN TRIPATHY,Biju Janata Dal,TUSARA KANTA CHAKRABARTY,Bharatiya Janata Party,17026,Result Declared
Odisha,Barabati-Cuttack,90,SOFIA FIRDOUS,Indian National Congress,PURNA CHANDRA MAHAPATRA,Bharatiya Janata Party,8001,Result Declared
Odisha,Barachana,50,AMAR KUMAR NAYAK,Bharatiya Janata Party,VARSHA PRIYADARSHINI,Biju Janata Dal,6310,Result Declared
Odisha,Baramba,87,BIJAYA KUMAR DALABEHERA,Independent,DEBIPRASAD MISHRA,Biju Janata Dal,23479,Result Declared
Odisha,Bargarh,3,ASHWINI KUMAR SARANGI,Bharatiya Janata Party,DEBESH ACHARYA,Biju Janata Dal,4772,Result Declared
Odisha,Bari,49,BISWA RANJAN MALLICK,Biju Janata Dal,UMESH CHANDRA JENA,Bharatiya Janata Party,51465,Result Declared
Odisha,Baripada,33,PRAKASH SOREN,Bharatiya Janata Party,SANANDA MARNDI,Biju Janata Dal,29385,Result Declared
Odisha,Basta,37,SUBASINI JENA,Biju Janata Dal,BIJAN NAYAK,Indian National Congress,20377,Result Declared
Odisha,Basudevpur,45,ASHOK KUMAR DAS,Indian National Congress,BISHNUBRATA ROUTRAY,Biju Janata Dal,631,Result Declared
Odisha,Begunia,116,PRADIP KUMAR SAHU S/O-LAXMIDHAR SAHU,Biju Janata Dal,PRAKASHA CHANDRA BIJULI,Bharatiya Janata Party,47814,Result Declared
Odisha,Berhampur,133,K. ANIL KUMAR,Bharatiya Janata Party,DR. RAMESH CHANDRA CHYAU PATNAIK,Biju Janata Dal,18709,Result Declared
Odisha,Bhadrak,44,SITANSU SEKHAR MOHAPATRA,Bharatiya Janata Party,PRAFULLA SAMAL,Biju Janata Dal,16068,Result Declared
Odisha,Bhandaripokhari,43,SANJIB KUMAR MALLICK,Biju Janata Dal,NIRANJAN PATNAIK,Indian National Congress,1551,Result Declared
Odisha,Bhanjanagar,123,PRADYUMNA KUMAR NAYAK,Bharatiya Janata Party,BIKRAM KESHARI ARUKHA,Biju Janata Dal,16324,Result Declared
Odisha,Bhatli,5,IRASIS ACHARYA,Bharatiya Janata Party,SUSANTA SINGH,Biju Janata Dal,27892,Result Declared
Odisha,Bhawanipatna,80,SAGAR CHARAN DAS,Indian National Congress,PRADIPTA KUMAR NAIK,Bharatiya Janata Party,13741,Result Declared
Odisha,Bhograi,36,GOUTAM BUDDHA DAS,Biju Janata Dal,SATYA SHIBA DAS,Indian National Congress,6564,Result Declared
Odisha,Bhubaneswar Central,112,ANANTA NARAYAN JENA,Biju Janata Dal,JAGANNATH PRADHAN,Bharatiya Janata Party,37,Result Declared
Odisha,Bhubaneswar North,113,SUSANT KUMAR ROUT,Biju Janata Dal,PRIYADARSHI MISHRA,Bharatiya Janata Party,11343,Result Declared
Odisha,Bijepur,2,SANAT KUMAR GARTIA,Bharatiya Janata Party,RITA SAHU,Biju Janata Dal,10066,Result Declared
Odisha,Binjharpur,48,PRAMILA MALLIK,Biju Janata Dal,BABITA MALLICK,Bharatiya Janata Party,2856,Result Declared
Odisha,Biramitrapur,10,ROHIT JOSEPH TIRKEY,Biju Janata Dal,SHANKAR ORAM,Bharatiya Janata Party,6884,Result Declared
Odisha,Birmaharajpur,64,RAGHUNATH JAGADALA,Bharatiya Janata Party,PADMANABHA BEHERA,Biju Janata Dal,21946,Result Declared
Odisha,Bissam Cuttack,139,NILAMADHAB HIKAKA,Indian National Congress,JAGANNATH SARAKA,Biju Janata Dal,9403,Result Declared
Odisha,Bolangir,68,KALIKESH NARAYAN SINGH DEO,Biju Janata Dal,SAMARENDRA MISHRA,Indian National Congress,13409,Result Declared
Odisha,Bonai,14,LAXMAN MUNDA,Communist Party of India (Marxist),BHIMSEN CHOUDHURY,Biju Janata Dal,23439,Result Declared
Odisha,Boudh,86,SAROJ KUMAR PRADHAN,Bharatiya Janata Party,PRADIP KUMAR AMAT,Biju Janata Dal,2765,Result Declared
Odisha,Brahmagiri,108,UPASNA MOHAPATRA,Bharatiya Janata Party,UMAKANTA SAMANTARAY,Biju Janata Dal,9830,Result Declared
Odisha,Brajarajnagar,6,SURESH PUJARI,Bharatiya Janata Party,ALAKA MOHANTY,Biju Janata Dal,26789,Result Declared
Odisha,Champua,25,SANATAN MAHAKUD,Biju Janata Dal,MURALI MANOHAR SHARMA,Bharatiya Janata Party,39994,Result Declared
Odisha,Chandabali,47,BYOMAKESH RAY,Biju Janata Dal,MANMOHAN SAMAL,Bharatiya Janata Party,1916,Result Declared
Odisha,Chhatrapur,127,KRUSHNA CHANDRA NAYAK,Bharatiya Janata Party,SUBASH CHANDRA BEHERA,Biju Janata Dal,11438,Result Declared
Odisha,Chhendipada,62,AGASTI BEHERA,Bharatiya Janata Party,SUSANTA KUMAR BEHERA,Biju Janata Dal,15063,Result Declared
Odisha,Chikiti,135,MANORANJAN DYAN SAMANTARA,Bharatiya Janata Party,CHINMAYANANDA SRIRUP DEB,Biju Janata Dal,6522,Result Declared
Odisha,Chilika,118,PRITHIVIRAJ HARICHANDAN,Bharatiya Janata Party,RAGHUNATH SAHU,Biju Janata Dal,4566,Result Declared
Odisha,Chitrakonda,147,MANGU KHILLA,Indian National Congress,DAMBARU SISA,Bharatiya Janata Party,9159,Result Declared
Odisha,Choudwar-Cuttack,91,SOUVIC BISWAL,Biju Janata Dal,NAYAN KISHORE MOHANTY,Bharatiya Janata Party,17816,Result Declared
Odisha,Cuttack Sadar,93,PRAKASH CHANDRA SETHI,Bharatiya Janata Party,CHANDRA SARATHI BEHERA,Biju Janata Dal,3809,Result Declared
Odisha,Dabugam,76,MANOHAR RANDHARI,Biju Janata Dal,LIPIKA MAJHI,Indian National Congress,21455,Result Declared
Odisha,Daspalla,121,RAMESH CHANDRA BEHERA,Biju Janata Dal,RAGHAB MALIK,Bharatiya Janata Party,6296,Result Declared
Odisha,Deogarh,19,ROMANCHA RANJAN BISWAL,Biju Janata Dal,SUBASH CHANDRA PANIGRAHI,Bharatiya Janata Party,15792,Result Declared
Odisha,Dhamnagar,46,SURYABANSHI SURAJ STHITAPRAJNA,Bharatiya Janata Party,SANJAYA KUMAR DAS,Biju Janata Dal,8095,Result Declared
Odisha,Dharamgarh,79,SUDHIR RANJAN PATTJOSHI,Bharatiya Janata Party,PUSPENDRA SINGH DEO,Biju Janata Dal,18927,Result Declared
Odisha,Dharmasala,51,HIMANSHU SEKHAR SAHOO F-LATE RAMESH CHANDRA SAHOO,Independent,PRANAB KUMAR BALABANTARAY,Biju Janata Dal,4150,Result Declared
Odisha,Dhenkanal,55,KRUSHNA CHANDRA PATRA,Bharatiya Janata Party,SUDHIR KUMAR SAMAL,Biju Janata Dal,20439,Result Declared
Odisha,Digapahandi,134,SIDHANT MOHAPATRA,Bharatiya Janata Party,BIPLAB PATRO,Biju Janata Dal,16847,Result Declared
Odisha,Ekamra-Bhubaneswar,114,BABU SINGH,Bharatiya Janata Party,ASHOK CHANDRA PANDA,Biju Janata Dal,5023,Result Declared
Odisha,G. Udayagiri,83,PRAFULLA CHANDRA PRADHAN,Indian National Congress,MANAGOBINDA PRADHAN,Bharatiya Janata Party,7857,Result Declared
Odisha,Ghasipura,21,BADRI NARAYAN PATRA,Biju Janata Dal,SOUMYA RANJAN PATNAIK,Independent,13811,Result Declared
Odisha,Gopalpur,132,BIBHUTI BHUSHAN JENA,Bharatiya Janata Party,BIKRAM KUMAR PANDA,Biju Janata Dal,9062,Result Declared
Odisha,Gunupur,138,SATYAJEET GOMANGO,Indian National Congress,RAGHUNATH GOMANGO,Biju Janata Dal,29885,Result Declared
Odisha,Hindol,56,SIMARANI NAYAK,Bharatiya Janata Party,MAHESH SAHOO,Biju Janata Dal,11827,Result Declared
Odisha,Hinjili,131,NAVEEN PATNAIK,Biju Janata Dal,SISIR KUMAR MISHRA,Bharatiya Janata Party,4636,Result Declared
Odisha,Jagatsinghpur,104,AMARENDRA DAS,Bharatiya Janata Party,PRASANTA KUMAR MUDULI,Biju Janata Dal,22138,Result Declared
Odisha,Jajpur,52,SUJATA SAHU,Biju Janata Dal,GOUTAM RAY,Bharatiya Janata Party,2564,Result Declared
Odisha,Jaleswar,35,ASWINI KUMAR PATRA,Biju Janata Dal,BRAJAMOHAN PRADHAN,Bharatiya Janata Party,319,Result Declared
Odisha,Jashipur,26,GANESH RAM SINGKHUNTIA,Bharatiya Janata Party,CHAKRADHAR HEMBRAM,Biju Janata Dal,34667,Result Declared
Odisha,Jatani,115,BIBHUTI BHUSAN BALABANTARAY,Biju Janata Dal,BISWARANJAN BADAJENA,Bharatiya Janata Party,25221,Result Declared
Odisha,Jayadev,111,NABA KISHOR MALLICK,Biju Janata Dal,ARABINDA DHALI,Bharatiya Janata Party,21473,Result Declared
Odisha,Jeypore,143,TARA PRSADA BAHINIPATI,Indian National Congress,INDIRA NANDA,Biju Janata Dal,13111,Result Declared
Odisha,Jharigam,74,NARSING BHATRA,Bharatiya Janata Party,RAMESH CHANDRA MAJHI,Biju Janata Dal,3278,Result Declared
Odisha,Jharsuguda,7,TANKADHAR TRIPATHY,Bharatiya Janata Party,DIPALI DAS,Biju Janata Dal,1333,Result Declared
Odisha,Junagarh,78,DIBYA SHANKAR MISHRA,Biju Janata Dal,MANOJ KUMAR MEHER,Bharatiya Janata Party,1338,Result Declared
Odisha,Kabisuryanagar,125,PRATAP CHANDRA NAYAK,Bharatiya Janata Party,LATIKA PRADHAN,Biju Janata Dal,30173,Result Declared
Odisha,Kakatpur,105,TUSHARKANTI BEHERA,Biju Janata Dal,BAIDHAR MALIK,Bharatiya Janata Party,23151,Result Declared
Odisha,Kamakhyanagar,57,SATRUGHAN JENA,Bharatiya Janata Party,PRAFULLA KUMAR MALLIK,Biju Janata Dal,4662,Result Declared
Odisha,Kantabanji,70,LAXMAN BAG,Bharatiya Janata Party,NAVEEN PATNAIK,Biju Janata Dal,16344,Result Declared
Odisha,Kantamal,85,KANHAI CHARAN DANGA,Bharatiya Janata Party,MAHIDHAR RANA,Biju Janata Dal,7149,Result Declared
Odisha,Karanjia,30,PADMA CHARAN HAIBURU,Bharatiya Janata Party,BASANTI HEMBRAM,Biju Janata Dal,29499,Result Declared
Odisha,Kendrapara,97,GANESWAR BEHERA,Biju Janata Dal,GEETANJALI SETHI,Bharatiya Janata Party,35418,Result Declared
Odisha,Keonjhar,24,MOHAN CHARAN MAJHI,Bharatiya Janata Party,MINA MAJHI,Biju Janata Dal,11577,Result Declared
Odisha,Khalikote,126,PURNA CHANDRA SETHY,Bharatiya Janata Party,SURYAMANI BAIDYA,Biju Janata Dal,23057,Result Declared
Odisha,Khandapada,120,DUSMANTA KUMAR SWAIN,Bharatiya Janata Party,SABITRI PRADHAN,Biju Janata Dal,7343,Result Declared
Odisha,Khariar,72,ADHIRAJ MOHAN PANIGRAHI,Biju Janata Dal,HITESH KUMAR BAGARTTI,Bharatiya Janata Party,9618,Result Declared
Odisha,Khurda,117,PRASANTA KUMAR JAGADEV,Bharatiya Janata Party,RAJENDRA KUMAR SAHOO,Biju Janata Dal,8598,Result Declared
Odisha,Koraput,144,RAGHURAM MACHHA,Bharatiya Janata Party,RAGHU RAM PADAL,Biju Janata Dal,2524,Result Declared
Odisha,Korei,53,AKASH DASNAYAK,Bharatiya Janata Party,SANDHYARANI DAS,Biju Janata Dal,5646,Result Declared
Odisha,Kotpad,142,RUPU BHATRA,Bharatiya Janata Party,CHANDRA SEKHAR MAJHI,Biju Janata Dal,26264,Result Declared
Odisha,Kuchinda,15,RABI NARAYAN NAIK,Bharatiya Janata Party,RAJENDRA KUMAR CHHATRIA,Biju Janata Dal,32220,Result Declared
Odisha,Lakshmipur,141,PABITRA SAUNTA,Indian National Congress,PRABHU JANI,Biju Janata Dal,21262,Result Declared
Odisha,Lanjigarh,77,PRADIP KUMAR DISHARI,Biju Janata Dal,BALABHADRA MAJHI,Indian National Congress,6501,Result Declared
Odisha,Loisingha,66,MUKESH MAHALING,Bharatiya Janata Party,NIHAR RANJAN BEHERA,Biju Janata Dal,18190,Result Declared
Odisha,Mahakalapada,100,DURGA PRASAN NAYAK,Bharatiya Janata Party,ATANU SABYASACHI NAYAK,Biju Janata Dal,33526,Result Declared
Odisha,Mahanga,95,SARADA PRASAD PADHAN,Independent,ANKIT PRATAP JENA,Biju Janata Dal,7423,Result Declared
Odisha,Malkangiri,146,NARASINGA MADKAMI,Bharatiya Janata Party,MALA MADHI,Indian National Congress,14890,Result Declared
Odisha,Mohana,136,DASARATHI GAMANGO,Indian National Congress,PRASANTA KUMAR MALLIK,Bharatiya Janata Party,4059,Result Declared
Odisha,Morada,34,DR. KRUSHNA CHANDRA MAHAPATRA,Bharatiya Janata Party,PREETINANDA KANUNGO,Biju Janata Dal,33270,Result Declared
Odisha,Nabarangpur,75,GOURI SHANKAR MAJHI,Bharatiya Janata Party,KAUSALYA PRADHANI,Biju Janata Dal,25094,Result Declared
Odisha,Narla,81,MANORAMA MOHANTY,Biju Janata Dal,BHAKTA CHARAN DAS,Indian National Congress,5205,Result Declared
Odisha,Nayagarh,122,ARUNA KUMAR SAHOO,Biju Janata Dal,PRATYUSHA RAJESHWARI SINGH,Bharatiya Janata Party,439,Result Declared
Odisha,Niali,92,CHHABI MALIK,Bharatiya Janata Party,DR. PRAMOD KUMAR MALLICK,Biju Janata Dal,1452,Result Declared
Odisha,Nilgiri,40,SANTOSH KHATUA,Bharatiya Janata Party,SUKANTA KUMAR NAYAK,Biju Janata Dal,19839,Result Declared
Odisha,Nimapara,106,PRAVATI PARIDA,Bharatiya Janata Party,DILLIP KUMAR NAYAK,Biju Janata Dal,4588,Result Declared
Odisha,Nuapada,71,RAJENDRA DHOLAKIA,Biju Janata Dal,GHASIRAM MAJHI,Independent,10881,Result Declared
Odisha,Padampur,1,BARSHA SINGH BARIHA,Biju Janata Dal,GOBARDHAN BHOY,Bharatiya Janata Party,10993,Result Declared
Odisha,Pallahara,59,ASHOK MOHANTY,Bharatiya Janata Party,MUKESH KUMAR PAL,Biju Janata Dal,7563,Result Declared
Odisha,Paradeep,101,SAMPAD CHANDRA SWAIN,Bharatiya Janata Party,GEETANJALI ROUTRAY,Biju Janata Dal,15787,Result Declared
Odisha,Paralakhemundi,137,RUPESH KUMAR PANIGRAHI,Biju Janata Dal,KODURU NARAYANA RAO,Bharatiya Janata Party,3998,Result Declared
Odisha,Parjanga,58,BIBHUTI BHUSAN PRADHAN,Bharatiya Janata Party,DR. NRUSINGHA CHARAN SAHU,Biju Janata Dal,32162,Result Declared
Odisha,Patkura,96,ARVIND MOHAPATRA,Biju Janata Dal,TEJESWAR PARIDA,Bharatiya Janata Party,13822,Result Declared
Odisha,Patna,23,AKHILA CHANDRA NAIK,Bharatiya Janata Party,JAGANNATH NAIK,Biju Janata Dal,37979,Result Declared
Odisha,Patnagarh,67,KANAK VARDHAN SINGH DEO,Bharatiya Janata Party,SAROJ KUMAR MEHER,Biju Janata Dal,1357,Result Declared
Odisha,Phulbani,84,UMA CHARAN MALLICK,Bharatiya Janata Party,JAYASHREE KANHAR,Biju Janata Dal,2858,Result Declared
Odisha,Pipili,110,ASHRIT PATTANAYAK,Bharatiya Janata Party,RUDRA PRATAP MAHARATHY,Biju Janata Dal,15162,Result Declared
Odisha,Polasara,124,GOKULANANDA MALLIK,Bharatiya Janata Party,SRIKANTA SAHU,Biju Janata Dal,20946,Result Declared
Odisha,Pottangi,145,RAMA CHANDRA KADAM,Indian National Congress,PRAFULLA KUMAR PANGI,Biju Janata Dal,1919,Result Declared
Odisha,Puri,107,SUNIL KUMAR MOHANTY,Biju Janata Dal,JAYANTA KUMAR SARANGI,Bharatiya Janata Party,5178,Result Declared
Odisha,Raghunathpali,11,DURGA CHARAN TANTI,Bharatiya Janata Party,ARCHANA REKHA BEHERA,Biju Janata Dal,5774,Result Declared
Odisha,Rairakhol,18,PRASANNA ACHARYA,Biju Janata Dal,DEBENDRA MOHAPATRA,Bharatiya Janata Party,4960,Result Declared
Odisha,Rairangpur,28,JALEN NAIK,Bharatiya Janata Party,RAISEN MURMU,Biju Janata Dal,7693,Result Declared
Odisha,Rajanagar,99,DHRUBA CHARAN SAHOO,Biju Janata Dal,LALIT KUMAR BEHERA,Bharatiya Janata Party,18241,Result Declared
Odisha,Rajgangpur,13,C.S. RAAZEN EKKA,Indian National Congress,ANIL BARWA,Biju Janata Dal,10184,Result Declared
Odisha,Ranpur,119,SURAMA PADHY,Bharatiya Janata Party,SATYANARAYAN PRADHAN,Biju Janata Dal,15544,Result Declared
Odisha,Rayagada,140,KADRAKA APPALA SWAMY,Indian National Congress,ANUSAYA MAJHI,Biju Janata Dal,29186,Result Declared
Odisha,Remuna,39,GOBINDA CHANDRA DAS,Bharatiya Janata Party,BIDYASMITA MAHALIK,Biju Janata Dal,24168,Result Declared
Odisha,Rengali,16,SUDARSHAN HARIPAL,Biju Janata Dal,NAURI NAYAK,Bharatiya Janata Party,3212,Result Declared
Odisha,Rourkela,12,SARADA PRASAD NAYAK,Biju Janata Dal,DILIP KUMAR RAY,Bharatiya Janata Party,3552,Result Declared
Odisha,Salipur,94,PRASANTA BEHERA,Biju Janata Dal,ARINDAM ROY,Bharatiya Janata Party,7594,Result Declared
Odisha,Sambalpur,17,JAYANARAYAN MISHRA,Bharatiya Janata Party,ROHIT PUJARI,Biju Janata Dal,4105,Result Declared
Odisha,Sanakhemundi,130,RAMESH CHANDRA JENA,Indian National Congress,Sulakshana Geetanjali Devi,Biju Janata Dal,10662,Result Declared
Odisha,Saraskana,27,BHADAV HANSDAH,Bharatiya Janata Party,DEBASHIS MARNDI,Biju Janata Dal,13652,Result Declared
Odisha,Satyabadi,109,OM PRAKASH MISHRA,Bharatiya Janata Party,SANJAY KUMAR DAS BURMA,Biju Janata Dal,17708,Result Declared
Odisha,Simulia,42,PADMA LOCHAN PANDA,Bharatiya Janata Party,SUBASINI SAHOO,Biju Janata Dal,13183,Result Declared
Odisha,Sonepur,65,NIRANJAN PUJARI,Biju Janata Dal,PRAMOD KUMAR MAHAPATRA,Bharatiya Janata Party,15239,Result Declared
Odisha,Soro,41,MADHAB DHADA,Biju Janata Dal,PARSHURAM DHADA,Bharatiya Janata Party,802,Result Declared
Odisha,Sukinda,54,PRADEEP BAL SAMANTA,Bharatiya Janata Party,PRITIRANJAN GHARAI,Biju Janata Dal,9577,Result Declared
Odisha,Sundargarh,9,JOGESH KUMAR SINGH,Biju Janata Dal,KUSUM TETE,Bharatiya Janata Party,9122,Result Declared
Odisha,Surada,129,NILAMANI BISOYI,Bharatiya Janata Party,SANGHAMITRA SWAIN,Biju Janata Dal,28224,Result Declared
Odisha,Talcher,60,BRAJA KISHORE PRADHAN,Biju Janata Dal,KALANDI CHARAN SAMAL,Bharatiya Janata Party,32122,Result Declared
Odisha,Talsara,8,BHABANI SHANKAR BHOI,Bharatiya Janata Party,BINAYA KUMAR TOPPO,Biju Janata Dal,17189,Result Declared
Odisha,Telkoi,20,DR. FAKIR MOHAN NAIK,Bharatiya Janata Party,MADHABA SARDAR,Biju Janata Dal,9439,Result Declared
Odisha,Tirtol,102,RAMAKANTA BHOI,Biju Janata Dal,RAJKISHORE BEHERA,Bharatiya Janata Party,28495,Result Declared
Odisha,Titlagarh,69,NABIN KUMAR JAIN,Bharatiya Janata Party,TUKUNI SAHU,Biju Janata Dal,17399,Result Declared
Odisha,Udala,31,BHASKAR MADHEI,Bharatiya Janata Party,SRINATH SOREN,Biju Janata Dal,6517,Result Declared
Odisha,Umerkote,73,NITYANANDA GOND,Bharatiya Janata Party,NABINA NAYAK,Biju Janata Dal,10373,Result Declared
